id,university,book_title,quantity,date
1,Adelphi University,Statistics for Business and Economics,545,7/12/2015
1,Adelphi University,Intro Stats,138,12/18/2015
1,Adelphi University,Fundamentals of Statistics,158,4/25/2015
1,Adelphi University,Literature for Composition,362,6/21/2015
1,Adelphi University,Psychology of Investing,116,11/21/2015
1,Adelphi University,"Network Security Essentials: Applications and Standards, 5/e",612,6/12/2015
1,Adelphi University,Modern Systems Analysis and Design,282,11/6/2015
2,University of West Georgia,Algebra and Trigonometry,476,5/13/2015
2,University of West Georgia,Employment Law,59,1/30/2016
2,University of West Georgia,Ownership Series: Ownership: Study Strategies,68,12/23/2015
2,University of West Georgia,Elementary & Intermediate Algebra,314,2/18/2016
2,University of West Georgia,Analysis with an Introduction to Proof,111,2/9/2016
2,University of West Georgia,Principles of Operations Management,251,1/9/2016
2,University of West Georgia,Human Resource Management,213,3/23/2015
2,University of West Georgia,"Career Tool Kit, The: Skills for Success",356,12/24/2015
2,University of West Georgia,Starting Out With Visual Basic,639,6/6/2015
2,University of West Georgia,Making the Team,527,2/20/2016
2,University of West Georgia,Auditing and Assurance Services,108,7/2/2015
2,University of West Georgia,Complete Works of Shakespeare 7E,687,4/9/2015
2,University of West Georgia,College Algebra: An Early Functions Approach,231,6/27/2015
2,University of West Georgia,Intercultural Business Communication,282,12/31/2015
2,University of West Georgia,John E. Freund's Mathematical Statistics with Applications,246,3/16/2015
3,Clarkson University,Horngren's Financial & Managerial Accounting,494,3/25/2015
3,Clarkson University,Engineering Vibration,362,2/5/2016
3,Clarkson University,Intro Stats,167,7/5/2015
3,Clarkson University,"Essentials of Processes, Systems and Information: with SAP tutorials",202,2/23/2016
4,California International Business University,Corporate Finance,412,7/5/2015
4,California International Business University,Global Marketing Management,144,3/7/2015
4,California International Business University,Mechanics of Materials,640,7/26/2015
4,California International Business University,International Business,451,1/17/2016
4,California International Business University,Visual Basic 2012 How to Program,371,9/12/2015
4,California International Business University,"Corporate Finance, The Core",119,12/16/2015
4,California International Business University,Starting out with Visual C# 2012 (with CD-Rom),104,5/18/2015
4,California International Business University,E-Commerce 2013,189,2/14/2016
4,California International Business University,Analysis with an Introduction to Proof,597,2/23/2016
4,California International Business University,Foundations of Finance,259,6/12/2015
4,California International Business University,Elementary Algebra:  Concepts & Applications,519,8/24/2015
4,California International Business University,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",500,6/23/2015
4,California International Business University,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),368,5/18/2015
4,California International Business University,Economics,308,4/11/2015
4,California International Business University,Principles of Risk Management and Insurance,521,6/8/2015
4,California International Business University,Managing Engineering and Technology,72,3/25/2015
4,California International Business University,"Prealgebra and Introductory Algebra, 4e",276,11/19/2015
4,California International Business University,Global Marketing Management,250,5/5/2015
4,California International Business University,Complete Works of Shakespeare 7E,51,10/10/2015
4,California International Business University,Introductory & Intermediate Algebra 3e,481,4/16/2015
4,California International Business University,Data Structures and Algorithm Analysis in C++,123,1/28/2016
4,California International Business University,Prealgebra  5e,665,2/23/2016
4,California International Business University,Fundamentals of Statistics,231,10/19/2015
4,California International Business University,"Cornerstones for Community College Success, 2/E",650,8/15/2015
4,California International Business University,Economics for Managers,189,6/29/2015
4,California International Business University,Precalculus with Modeling & Visualization,180,7/10/2015
4,California International Business University,Introductory & Intermediate Algebra 3e,506,1/2/2016
4,California International Business University,Essential Statistics,265,8/27/2015
4,California International Business University,The Economics of Macro Issues,535,10/15/2015
4,California International Business University,"Integrated Advertising, Promotion, and Marketing Communications",552,2/22/2016
4,California International Business University,Introduction to JavaScript Programming with XML and PHP,602,9/26/2015
4,California International Business University,Microeconomics,637,10/10/2015
4,California International Business University,Managerial Economics,471,3/6/2016
5,Dallas Baptist University,Employment Law,462,2/29/2016
5,Dallas Baptist University,Intro Stats,139,7/7/2015
5,Dallas Baptist University,Hands-On Database,205,7/29/2015
5,Dallas Baptist University,Fundamentals of Human Resource Management,694,12/26/2015
5,Dallas Baptist University,Elementary & Intermediate Algebra,396,8/1/2015
5,Dallas Baptist University,Algebra and Trigonometry with Modeling & Visualization,273,10/13/2015
