book_id,isbn10,isbn13,title,category
489,032182623X,9780321826237,Statistics for Business and Economics,Statistics
603,0321825276,9780321825278,Intro Stats,Statistics
480,032183870X,9780321838704,Fundamentals of Statistics,Statistics
550,0321829174,9780321829177,Literature for Composition,English
896,0132994895,9780132994897,Psychology of Investing,Business
693,0133370437,9780133370430,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
587,032183724X,9780321837240,Algebra and Trigonometry,Mathematics
942,0133075222,9780133075229,Employment Law,Business
686,0132869063,9780132869065,Ownership Series: Ownership: Study Strategies,Student Success
626,0321880110,9780321880116,Elementary & Intermediate Algebra,Mathematics
599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
944,0132968363,9780132968362,Principles of Operations Management,Business
928,0133043541,9780133043549,Human Resource Management,Business
625,0132180537,9780132180535,"Career Tool Kit, The: Skills for Success",Student Success
477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
972,0136090036,9780136090038,Making the Team,Business
946,0133125637,9780133125634,Auditing and Assurance Services,Business
549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
586,0321729641,9780321729644,College Algebra: An Early Functions Approach,Mathematics
895,0132971275,9780132971270,Intercultural Business Communication,Business
583,032180709X,9780321807090,John E. Freund's Mathematical Statistics with Applications,Statistics
955,0133251241,9780133251241,Horngren's Financial & Managerial Accounting,Business
643,0132871696,9780132871693,Engineering Vibration,Engineering
603,0321825276,9780321825278,Intro Stats,Statistics
688,013340675X,9780133406757,"Essentials of Processes, Systems and Information: with SAP tutorials",Business
951,0132992477,9780132992473,Corporate Finance,Business
698,0136157394,9780136157397,Global Marketing Management,Business
784,0133254429,9780133254426,Mechanics of Materials,Engineering
904,0133063003,9780133063004,International Business,Business
787,0133406954,9780133406955,Visual Basic 2012 How to Program,Computer Science
952,0133097897,9780133097894,"Corporate Finance, The Core",Business
478,0133129454,9780133129458,Starting out with Visual C# 2012 (with CD-Rom),Computer Science
984,0132730359,9780132730358,E-Commerce 2013,Business
599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
932,0132994879,9780132994873,Foundations of Finance,Business
594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
652,0132481197,9780132481199,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success
639,0133378500,9780133378504,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
911,0132994844,9780132994842,Economics,Economics
957,0132992914,9780132992916,Principles of Risk Management and Insurance,Business
792,0133485102,9780133485103,Managing Engineering and Technology,Engineering
622,0321859227,9780321859228,"Prealgebra and Introductory Algebra, 4e",Mathematics
698,0136157394,9780136157397,Global Marketing Management,Business
549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
790,013284737X,9780132847377,Data Structures and Algorithm Analysis in C++,Computer Science
593,0321845021,9780321845023,Prealgebra  5e,Mathematics
480,032183870X,9780321838704,Fundamentals of Statistics,Statistics
611,0321860594,9780321860590,"Cornerstones for Community College Success, 2/E",Student Success
969,013606552X,9780136065524,Economics for Managers,Economics
612,0321826027,9780321826022,Precalculus with Modeling & Visualization,Mathematics
598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
490,0321836987,9780321836984,Essential Statistics,Statistics
974,0132991284,9780132991285,The Economics of Macro Issues,Economics
948,0133126242,9780133126242,"Integrated Advertising, Promotion, and Marketing Communications",Business
473,0133068307,9780133068306,Introduction to JavaScript Programming with XML and PHP,Computer Science
940,0132948869,9780132948869,Microeconomics,Economics
910,0133020266,9780133020267,Managerial Economics,Economics
942,0133075222,9780133075229,Employment Law,Business
603,0321825276,9780321825278,Intro Stats,Statistics
980,013610827X,9780136108276,Hands-On Database,Computer Science
912,0132994909,9780132994903,Fundamentals of Human Resource Management,Business
626,0321880110,9780321880116,Elementary & Intermediate Algebra,Mathematics
615,0321826124,9780321826121,Algebra and Trigonometry with Modeling & Visualization,Mathematics
984,0132730359,9780132730358,E-Commerce 2013,Business
698,0136157394,9780136157397,Global Marketing Management,Business
598,0321826035,9780321826039,Introductory & Intermediate Algebra 3e,Mathematics
940,0132948869,9780132948869,Microeconomics,Economics
705,0133451607,9780133451603,Statics and Mechanics of Materials,Engineering
932,0132994879,9780132994873,Foundations of Finance,Business
637,0321851668,9780321851666,Elementary Statistics Using Excel,Statistics
552,0205875548,9780205875542,The Prentice Hall Guide for College Writers,English
891,0133078353,9780133078350,Marketing Plan Handbook,Business
701,013267145X,9780132671453,Adaptive Filter Theory,Engineering
785,0132974401,9780132974400,"Human Relations for Career and Personal Success: Concepts, Applications, & Skills",Business
899,0132994348,9780132994347,Personal Finance,Business
904,0133063003,9780133063004,International Business,Business
608,0133116530,9780133116533,Basic Technical Mathematics with Calculus,Mathematics
784,0133254429,9780133254426,Mechanics of Materials,Engineering
696,0133140512,9780133140514,Entrepreneurial Finance,Business
479,0321836960,9780321836960,Elementary Statistics,Statistics
925,013297133X,9780132971331,Guide to Managerial Communication,Business
783,0133075354,9780133075359,Fundamentals of Investing,Business
475,0133250121,9780133250121,Java Software Structures,Computer Science
474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
558,0205883109,9780205883103,"Strategies for Successful Writing, Concise Edition",English
624,0321837347,9780321837349,Precalculus,Mathematics
787,0133406954,9780133406955,Visual Basic 2012 How to Program,Computer Science
693,0133370437,9780133370430,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
918,0132993341,9780132993340,Fundamentals of Futures and Options Markets,Business
946,0133125637,9780133125634,Auditing and Assurance Services,Business
572,0205890547,9780205890545,Mosaics: Reading and Writing Paragraphs,Student Success
784,0133254429,9780133254426,Mechanics of Materials,Engineering
567,0321906365,9780321906366,"Writing and Reading Across the Curriculum, Brief Edition",English
707,0321566440,9780321566447,Managerial Economics,Economics
919,0132970759,9780132970754,MIS Essentials,Business
489,032182623X,9780321826237,Statistics for Business and Economics,Statistics
474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
547,020587665X,9780205876655,"The Curious Writer, Brief Edition",English
608,0133116530,9780133116533,Basic Technical Mathematics with Calculus,Mathematics
792,0133485102,9780133485103,Managing Engineering and Technology,Engineering
594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
782,0133127648,9780133127645,Public Relations Practices,Business
937,0133423905,9780133423907,Microeconomics,Economics
943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
940,0132948869,9780132948869,Microeconomics,Economics
964,0133083578,9780133083576,The Practice of Public Relations,Business
477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
603,0321825276,9780321825278,Intro Stats,Statistics
550,0321829174,9780321829177,Literature for Composition,English
968,0133024164,9780133024166,Principles of Microeconomics,Economics
596,0321900472,9780321900470,Precalculus: A Unit Circle Approach,Mathematics
489,032182623X,9780321826237,Statistics for Business and Economics,Statistics
564,0205578063,9780205578061,Read to Achieve: Gateway to Academic Reading,Student Success
695,0132832887,9780132832885,Aerodynamics for Engineers,Engineering
952,0133097897,9780133097894,"Corporate Finance, The Core",Business
792,0133485102,9780133485103,Managing Engineering and Technology,Engineering
677,0132992795,9780132992794,"Macroeconomics, 2/e",Economics
911,0132994844,9780132994842,Economics,Economics
973,0136039855,9780136039853,The Economic Way of Thinking,Economics
571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
965,0133023354,9780133023350,QuickBooks Pro 2013: A Complete Course,Business
574,0321899970,9780321899972,Technical Communication,English
553,0205883052,9780205883059,"The Prentice Hall Guide for College Writers, Brief Edition",English
477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
921,0132846918,9780132846912,Digital Business Networks,Business
487,0321838696,9780321838698,Business Statistics: A First Course,Statistics
644,0321880854,9780321880857,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",Mathematics
920,0132971321,9780132971324,Business Communication Essentials,Business
474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
639,0133378500,9780133378504,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
475,0133250121,9780133250121,Java Software Structures,Computer Science
707,0321566440,9780321566447,Managerial Economics,Economics
706,013601772X,9780136017721,Introduction to Engineering Analysis,Engineering
486,0321880129,9780321880123,Intermediate Algebra,Mathematics
967,013302380X,9780133023800,Principles of Economics,Economics
642,0321845862,9780321845863,Developmental Mathematics,Mathematics
783,0133075354,9780133075359,Fundamentals of Investing,Business
685,013286908X,9780132869089,Ownership Series: Ownership: Critical Thinking,Student Success
636,0321795911,9780321795915,Trigonometry,Mathematics
591,0321825535,9780321825537,Basic College Mathematics,Mathematics
479,0321836960,9780321836960,Elementary Statistics,Statistics
930,0132948877,9780132948876,Macroeconomics,Economics
983,0132145383,9780132145381,Electronic Commerce 2012,Business
952,0133097897,9780133097894,"Corporate Finance, The Core",Business
571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
474,013336092X,9780133360929,Starting Out with C++: Early Objects,Computer Science
932,0132994879,9780132994873,Foundations of Finance,Business
475,0133250121,9780133250121,Java Software Structures,Computer Science
571,0321898680,9780321898685,Style: Lessons in Clarity and Grace 11E,English
790,013284737X,9780132847377,Data Structures and Algorithm Analysis in C++,Computer Science
607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
616,0321865537,9780321865533,Introductory and Intermediate Algebra 5e,Mathematics
979,0321464486,9780321464484,Development Economics,Economics
974,0132991284,9780132991285,The Economics of Macro Issues,Economics
940,0132948869,9780132948869,Microeconomics,Economics
549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
693,0133370437,9780133370430,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
608,0133116530,9780133116533,Basic Technical Mathematics with Calculus,Mathematics
911,0132994844,9780132994842,Economics,Economics
946,0133125637,9780133125634,Auditing and Assurance Services,Business
909,0133077543,9780133077544,Management: A Focus on Leaders,Business
595,0321848284,9780321848284,Intermediate Algebra: Concepts & Applications,Mathematics
932,0132994879,9780132994873,Foundations of Finance,Business
975,0133022935,9780133022933,The Economics of Public Issues,Economics
624,0321837347,9780321837349,Precalculus,Mathematics
680,0133252817,9780133252811,Introduction to Programming with C++,Computer Science
548,0205876641,9780205876648,"The Curious Writer, Concise Edition",English
636,0321795911,9780321795915,Trigonometry,Mathematics
790,013284737X,9780132847377,Data Structures and Algorithm Analysis in C++,Computer Science
892,013295351X,9780132953511,Opportunities and Challenges of Workplace Diversity,Business
916,0133050696,9780133050691,Management Information Systems,Business
923,0133058360,9780133058369,Guide to Presentations,Business
697,013261930X,9780132619301,"English for Careers: Business, Professional, and Technical",Business
925,013297133X,9780132971331,Guide to Managerial Communication,Business
599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
568,0321846621,9780321846624,Reading Rhetorically,English
692,0133354695,9780133354690,Cryptography and Network Security: Principles and Practice,Computer Science
676,0132461862,9780132461863,International Monetary & Financial  Economics,Economics
607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
685,013286908X,9780132869089,Ownership Series: Ownership: Critical Thinking,Student Success
983,0132145383,9780132145381,Electronic Commerce 2012,Business
574,0321899970,9780321899972,Technical Communication,English
488,0321836510,9780321836519,Statistics for Business: Decision Making and Analysis,Statistics
555,0205886159,9780205886159,"Global Issues, Local Arguments",English
591,0321825535,9780321825537,Basic College Mathematics,Mathematics
607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
926,0133075281,9780133075281,Environmental Law,Business
547,020587665X,9780205876655,"The Curious Writer, Brief Edition",English
707,0321566440,9780321566447,Managerial Economics,Economics
486,0321880129,9780321880123,Intermediate Algebra,Mathematics
628,0133140423,9780133140422,Business Math Brief,Business
897,0133058786,9780133058789,Introduction to Management Accounting,Business
940,0132948869,9780132948869,Microeconomics,Economics
473,0133068307,9780133068306,Introduction to JavaScript Programming with XML and PHP,Computer Science
