adoption_id,message_id,date,category,content
1,1,3/4/2016,Help,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
1,2,7/7/2015,Response,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
1,3,9/12/2015,Response,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
1,4,6/14/2015,Query,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
2,1,4/12/2015,Response,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
2,2,9/29/2015,Help,Duis at velit eu est congue elementum.
2,3,2/13/2016,Query,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
2,4,5/2/2015,Order,Morbi non lectus.
2,5,1/1/2016,Order,Sed ante. Vivamus tortor. Duis mattis egestas metus.
2,6,6/6/2015,Help,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
2,7,12/6/2015,Response,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
2,8,3/30/2015,Order,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
2,9,1/12/2016,Order,Nulla mollis molestie lorem. Quisque ut erat.
2,10,2/8/2016,Help,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
2,11,3/2/2016,Response,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
2,12,12/13/2015,Response,Phasellus in felis.
2,13,11/9/2015,Request,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam."
2,14,11/28/2015,Response,Nullam molestie nibh in lectus.
2,15,9/10/2015,Query,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia."
3,1,4/8/2015,Order,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
3,2,9/13/2015,Request,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
3,3,2/9/2016,Help,Morbi porttitor lorem id ligula.
3,4,6/30/2015,Query,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
3,5,4/19/2015,Order,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
3,6,1/8/2016,Response,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
3,7,8/22/2015,Query,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
4,1,6/21/2015,Query,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
4,2,7/12/2015,Help,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
4,3,6/28/2015,Help,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
4,4,9/8/2015,Help,Aenean sit amet justo.
4,5,3/10/2015,Query,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
4,6,6/14/2015,Query,Morbi vel lectus in quam fringilla rhoncus.
4,7,4/20/2015,Response,Aenean auctor gravida sem.
4,8,6/10/2015,Help,Duis bibendum. Morbi non quam nec dui luctus rutrum.
4,9,4/25/2015,Help,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
4,10,4/9/2015,Request,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
4,11,6/12/2015,Query,Donec vitae nisi.
4,12,1/3/2016,Query,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
4,13,2/22/2016,Query,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
4,14,1/1/2016,Response,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
5,1,1/26/2016,Request,In quis justo.
5,2,8/23/2015,Response,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
5,3,8/23/2015,Help,Suspendisse accumsan tortor quis turpis. Sed ante.
5,4,10/11/2015,Query,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
5,5,2/11/2016,Query,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
5,6,4/9/2015,Response,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
5,7,8/12/2015,Query,Suspendisse potenti.
5,8,7/19/2015,Request,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
5,9,8/10/2015,Query,Cras in purus eu magna vulputate luctus.
5,10,8/5/2015,Query,Sed ante.
5,11,3/27/2015,Response,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
5,12,1/29/2016,Query,Proin eu mi.
5,13,3/1/2016,Order,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
5,14,8/28/2015,Order,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
6,1,6/28/2015,Help,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
6,2,6/23/2015,Query,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
6,3,7/21/2015,Response,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
6,4,10/28/2015,Order,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
6,5,7/14/2015,Help,Morbi non lectus.
6,6,3/30/2015,Response,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
6,7,3/15/2015,Query,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
6,8,11/9/2015,Help,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
6,9,7/17/2015,Response,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
6,10,1/12/2016,Request,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
6,11,4/4/2015,Response,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
7,1,3/30/2015,Order,Aliquam erat volutpat.
7,2,4/25/2015,Help,Praesent blandit.
7,3,8/7/2015,Response,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
7,4,9/28/2015,Help,Morbi quis tortor id nulla ultrices aliquet.
7,5,7/5/2015,Order,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
7,6,6/11/2015,Help,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
7,7,5/21/2015,Response,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
